"","predictor","brt_KDE_1","brt_target_2","glm_KDE_1","glm_target_1","mars_KDE_1","mars_target_1","Maxent_KDE_3","Maxent_target_1","rf_KDE_1","rf_target_1"
"1","Americas_N_LCM_Cat100",8.15599422243622,6.8988568754596,13.6320799170672,NA,7.57901196686103,0,8.42058786426141,2.78654048370137,12.831541218638,4.4701155198393
"2","awc_mean_0_5_integer",NA,NA,NA,8.32585680961779,NA,1.52104704633885,NA,-0.0292090197452942,NA,2.91310899045705
"3","awc_var_0_5_integer",NA,NA,NA,3.32854835815541,NA,0,-0.0378453387157843,-0.893796004206118,0,0.313912606730253
"4","bareground.stdev_2May_integer",NA,NA,0.786919234756387,2.1577247443029,NA,1.16731517509727,1.21105083890503,1.15667718191377,1.17562724014343,4.23154193872425
"5","bio_03_1981_2010_800m",8.348579682234,10.25469616953,6.04561304306851,16.1492912255518,1.71218165081314,9.79837283339227,3.00239687145199,10.118004439771,4.6451612903226,19.1361125062783
"6","bio_07_1981_2010_800m",2.00288878189694,4.17140183167321,9.57968146263311,6.41485734792752,9.81282602025161,21.011673151751,7.49968462217736,13.3076293959575,1.17562724014343,4.14364640883975
"7","clay_mean_0_5_integer",4.10207029369282,NA,1.258128357365,5.26646330522162,2.13562442467013,5.86689575016424,1.55165888734705,3.94905946956421,2.65232974910397,6.0773480662983
"8","ETa_March_June_2003_2017_monthlyMean_integer",5.56571978815595,4.41874456848721,NA,NA,NA,0,3.21685379084142,3.06110526930714,6.33691756272405,4.39477649422403
"9","hii_v2geo",3.9672604718344,3.85052476769838,NA,NA,0,NA,3.0213195408099,NA,4.58781362007165,NA
"10","mtbs.timesburned_1984to2015",NA,NA,0.452360757704276,NA,NA,NA,0.0567680080736589,0.239513961911419,0.143369175627224,0.577599196383748
"11","PPT_ETo_Oct_Jun_1981_2010_integer",19.8459316321618,18.9451166521827,7.45924041089435,NA,20.8162012887389,NA,18.0522265674278,3.03189624956184,17.2759856630824,12.9080863887494
"12","PPT_MarchRatio_19812010mean",13.2017332691382,11.1237382177953,NA,NA,0,NA,10.5462343887978,NA,8.98924731182794,NA
"13","Remoteness (night lights)",6.10495907558975,4.41874456848717,5.32937517670344,6.88139242777677,12.1141454433875,0,3.63315251671502,4.98305876854774,5.5627240143369,4.85936715218483
"14","resdt_mean_integer",6.68271545498316,9.28538003877262,19.8614645179531,6.46420240445002,14.1638539429273,4.80064682399313,9.47394979185066,5.04731861198739,7.42652329749103,9.35459568056249
"15","TMAXmax_Jun_Aug_1988_2017",NA,NA,NA,NA,NA,NA,6.6103191623565,NA,NA,NA
"16","TMEAN_March_June_1981_2010_mean",NA,NA,NA,42.6565584066032,NA,20.2688362221436,NA,24.9620282743312,NA,17.7800100452034
"17","",22.0221473278768,26.6327963099138,35.5951371218547,2.35510497039299,31.6661552623504,35.5652129971196,23.7416424877002,28.2801729173969,27.1971326164874,8.83977900552489
